AL, 99, 2024111218, 03, AP01,  36, 172N,  773W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  42, 172N,  788W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  48, 170N,  804W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  54, 164N,  816W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  60, 157N,  823W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  66, 152N,  824W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  72, 146N,  824W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  78, 139N,  822W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  84, 134N,  818W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  90, 130N,  818W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  96, 127N,  817W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 102, 124N,  817W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 108, 118N,  818W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 114, 116N,  821W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 120, 114N,  825W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 126, 113N,  827W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 132, 115N,  835W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 138, 117N,  840W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 144, 119N,  844W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01, 150, 122N,  848W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,   0, 161N,  760W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,   6, 167N,  760W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  12, 170N,  762W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  18, 173N,  767W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  24, 178N,  779W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  30, 175N,  793W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  36, 171N,  806W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  42, 171N,  814W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  48, 172N,  820W,  23, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
